mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_Model__C,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score
0.5695776343345642,0.07906724164444219,0.02032572031021118,0.005143142410085752,0.0001,{'Model__C': 0.0001},-1048.0,-1058.0,-1009.0,-1026.0,-1035.25,19.070592544543548,7
0.4604799747467041,0.029178888265327572,0.018858611583709717,0.004894125273915105,0.004641588833612782,{'Model__C': 0.004641588833612782},-1012.0,-1034.0,-962.0,-979.0,-996.75,28.030117730755254,6
0.949809193611145,0.1113689561518874,0.025654911994934082,0.008218884883050384,0.21544346900318845,{'Model__C': 0.21544346900318845},-933.0,-949.0,-946.0,-925.0,-938.25,9.730750228014282,5
3.622553825378418,0.2615215968394319,0.025333940982818604,0.00551164475333676,10.0,{'Model__C': 10.0},-900.0,-901.0,-951.0,-959.0,-927.75,27.39867697535777,4
5.0264681577682495,0.4052828595322403,0.029325664043426514,0.005124469565858129,464.1588833612782,{'Model__C': 464.1588833612782},-899.0,-885.0,-949.0,-954.0,-921.75,30.21071829665756,3
6.062155067920685,0.9247783553737927,0.027590394020080566,0.005338686797504706,21544.346900318866,{'Model__C': 21544.346900318866},-898.0,-885.0,-949.0,-954.0,-921.5,30.401480227120523,1
4.461249351501465,0.5034140255227361,0.017622292041778564,0.010501477468427358,1000000.0,{'Model__C': 1000000.0},-898.0,-885.0,-949.0,-954.0,-921.5,30.401480227120523,1
